Date,btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_n_transactions_total,btc_n_transactions_excluding_popular,btc_n_transactions_excluding_chains_longer_than_100,btc_output_volume,btc_estimated_transaction_volume,btc_estimated_transaction_volume_usd
06-10-2009,-0.555286982,-2.110018876,-0.514983523,-0.413767307,-0.772824794,-0.928527434,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.017444588,-0.856831729,-0.905906021,-0.931083663,-0.793801722,-0.852641616,-0.853801721,-0.638728134,-0.712524589,-0.496879378
07-10-2009,-0.555286982,-2.109456653,-0.514983523,-0.413767307,-0.772824794,-0.928665475,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.856831729,-0.905856267,-0.930999715,-0.793801007,-0.852558009,-0.853676067,-0.638903438,-0.713264055,-0.496879378
08-10-2009,-0.555286982,-2.108684975,-0.514983523,-0.413767307,-0.772824794,-0.928666321,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.856831729,-0.905751231,-0.930800339,-0.793800027,-0.852359441,-0.85337764,-0.638487091,-0.713264055,-0.496879378
09-10-2009,-0.555286982,-2.107825105,-0.514983523,-0.413767307,-0.772824794,-0.928665967,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.856831729,-0.905707006,-0.930716391,-0.793798934,-0.852275834,-0.853251987,-0.638311787,-0.713264055,-0.496879378
10-10-2009,-0.555286982,-2.106976258,-0.514983523,-0.413767307,-0.772824794,-0.928665431,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.856831729,-0.905712534,-0.930726885,-0.793797855,-0.852286284,-0.853267693,-0.6383337,-0.713264055,-0.496879378
11-10-2009,-0.555286982,-2.106105364,-0.514983523,-0.413767307,-0.772824794,-0.928665414,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.856831729,-0.905701478,-0.930705898,-0.793796749,-0.852265383,-0.85323628,-0.638289874,-0.713264055,-0.496879378
12-10-2009,-0.555286982,-2.105421877,-0.514983523,-0.413767307,-0.772824794,-0.928243626,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.036234323,-0.856831729,-0.905789929,-0.930873794,-0.793795866,-0.852432597,-0.853487587,-0.636449182,-0.694592543,-0.496879378
13-10-2009,-0.555286982,-2.104859654,-0.514983523,-0.413767307,-0.772824794,-0.928665415,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.856831729,-0.905856267,-0.930999715,-0.793795152,-0.852558009,-0.853676067,-0.638903438,-0.713264055,-0.496879378
14-10-2009,-0.555286982,-2.104242312,-0.514983523,-0.413767307,-0.772824794,-0.928665519,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.856831729,-0.905828626,-0.930947248,-0.793794367,-0.852505754,-0.853597534,-0.638793873,-0.713264055,-0.496879378
15-10-2009,-0.555286982,-2.103305274,-0.514983523,-0.413767307,-0.772824794,-0.92866676,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.856831729,-0.905668309,-0.930642937,-0.793793176,-0.852202677,-0.85314204,-0.638158396,-0.713264055,-0.496879378
